,VIC,NSW,QLD,WA,SA,TAS,ACT,NT,TOTAL
Jul 13,3,93,3,0,0,0,0,0,99
Jul 12,0,116,1,1,2,0,0,1,121
Jul 11,0,82,1,2,1,0,0,0,86
Jul 10,3,52,5,0,2,0,0,0,62
Jul 9,1,45,0,0,2,0,0,2,50
Jul 8,0,39,3,0,1,0,0,1,44
Jul 7,0,28,1,0,0,0,0,0,29
Jul 6,2,18,6,3,0,0,0,0,29
Jul 5,2,37,6,0,1,0,0,0,46
Jul 4,1,16,3,1,2,0,0,0,23
Jul 3,0,40,8,0,1,0,0,0,49
Jul 2,2,32,5,1,2,0,0,0,42
Jul 1,-1,28,4,1,0,0,0,1,33
Jun 30,2,28,4,3,11,0,0,0,48
Jun 29,2,20,6,2,2,0,0,2,34
Jun 28,2,22,3,1,0,0,0,1,29
Jun 27,1,32,3,0,3,0,0,3,42
Jun 26,3,28,1,0,2,0,0,1,35
Jun 25,2,12,2,0,-3,0,0,0,13
Jun 24,4,19,3,1,4,0,0,0,31
Jun 23,0,10,1,0,0,0,0,1,12
Jun 22,2,5,3,0,0,0,0,0,10
Jun 21,9,8,5,0,3,0,0,0,25
Jun 20,2,5,1,0,0,0,0,0,8
Jun 19,3,6,0,0,1,0,0,0,10
Jun 18,2,2,3,0,3,0,0,1,11
Jun 17,1,3,6,0,1,0,0,0,11
Jun 16,9,3,0,1,4,0,0,0,17
Jun 15,3,4,3,1,1,0,0,0,12
Jun 14,6,6,2,0,0,0,0,0,14
Jun 13,0,1,8,0,1,0,0,1,11
Jun 12,4,1,0,0,3,0,0,0,8
Jun 11,1,1,0,0,1,0,0,0,3
Jun 10,4,3,8,0,1,0,0,0,16
Jun 9,1,4,1,0,0,0,0,0,6
Jun 8,3,3,1,0,2,0,0,1,10
Jun 7,11,5,0,0,3,0,0,0,19
Jun 6,8,5,2,0,2,0,0,0,17
Jun 5,6,0,1,0,1,0,0,0,8
Jun 4,4,0,8,0,1,0,0,0,13
Jun 3,3,2,2,0,0,0,0,0,7
Jun 2,5,1,1,-1,6,0,0,0,12
Jun 1,11,0,0,1,0,0,0,0,12
May 31,5,2,0,1,0,0,0,0,8
May 30,6,5,2,0,2,0,0,0,15
May 29,7,1,1,0,0,0,0,1,10
May 28,5,3,2,0,0,0,0,0,10
May 27,12,0,2,0,0,0,0,1,15
May 26,10,2,4,0,2,0,0,0,18
May 25,4,2,2,0,1,0,0,0,9
May 24,2,2,4,1,1,0,0,0,10
May 23,1,2,4,0,0,0,0,0,7
May 22,0,1,2,0,0,0,0,1,4
May 21,0,0,2,0,1,0,0,0,3
May 20,0,2,2,1,1,0,0,0,6
May 19,1,2,0,0,0,0,0,0,3
May 18,0,3,2,0,4,0,0,1,10
May 17,1,2,0,0,0,0,0,0,3
May 16,4,3,1,0,0,0,0,0,8
May 15,1,3,3,0,1,0,0,2,10
May 14,1,1,0,0,0,0,0,0,2
May 13,1,5,2,0,0,0,0,0,8
May 12,1,4,3,0,1,0,0,0,9
May 11,1,4,0,2,0,0,0,0,7
May 10,2,6,1,0,0,0,0,0,9
May 9,6,5,3,0,2,0,0,0,16
May 8,1,6,2,0,0,0,0,0,9
May 7,0,5,3,0,3,0,0,0,11
May 6,2,10,3,3,2,0,0,1,21
May 5,0,10,0,2,1,0,0,0,13
May 4,1,7,1,0,2,0,0,0,11
May 3,1,5,3,3,3,0,0,0,15
May 2,1,3,3,5,2,0,0,0,14
May 1,3,4,2,1,1,0,0,0,11
Apr 30,2,13,3,1,2,0,1,1,22
Apr 29,1,15,6,4,3,0,0,0,30
Apr 28,2,9,9,4,-1,0,0,1,24
Apr 27,4,12,9,4,1,0,0,0,30
Apr 26,0,8,3,0,14,0,0,4,29
Apr 25,1,1,2,2,1,0,0,1,8
Apr 24,2,1,3,2,1,0,0,10,19
Apr 23,2,18,4,0,1,0,0,12,37
Apr 22,2,5,1,2,9,0,0,5,24
Apr 21,3,8,1,2,2,0,0,3,19
Apr 20,1,3,0,3,3,0,0,6,16
Apr 19,4,8,0,2,6,0,0,4,24
Apr 18,0,6,2,6,0,0,0,0,14
Apr 17,2,7,1,1,4,0,0,6,21
Apr 16,0,7,6,1,1,0,0,0,15
Apr 15,5,9,1,1,2,0,0,0,18
Apr 14,0,3,2,7,1,0,0,1,14
Apr 13,0,5,2,3,8,0,0,0,18
Apr 12,2,9,2,1,0,0,0,0,14
Apr 11,0,6,0,2,1,0,0,0,9
Apr 10,1,4,1,0,0,0,0,0,6
Apr 9,0,2,1,0,2,0,0,0,5
Apr 8,0,2,3,0,1,0,0,0,6
Apr 7,0,6,6,1,1,0,0,0,14
Apr 6,0,7,-1,2,0,0,0,0,8
Apr 5,0,3,3,1,2,0,0,0,9
Apr 4,0,1,1,3,1,0,0,1,7
Apr 3,0,3,3,0,0,0,0,0,6
Apr 2,0,0,8,0,2,0,0,2,12
Apr 1,0,5,10,2,1,0,0,1,19
Mar 31,0,3,1,4,0,0,0,0,8
Mar 30,0,5,10,0,3,0,0,0,18
Mar 29,1,2,10,3,2,0,0,0,18
Mar 28,0,0,3,1,2,0,0,2,8
Mar 27,0,3,6,0,3,0,0,0,12
Mar 26,0,3,8,0,1,0,0,0,12
Mar 25,0,3,3,2,0,0,0,0,8
Mar 24,0,2,4,1,2,0,0,0,9
Mar 23,0,4,1,0,0,0,0,0,5
Mar 22,0,5,4,1,0,0,0,0,10
Mar 21,0,2,2,0,0,0,0,0,4
Mar 20,0,3,4,1,1,0,0,0,9
Mar 19,0,5,9,2,1,0,0,0,17
Mar 18,0,3,8,0,2,0,0,0,13
Mar 17,0,6,6,1,2,0,0,1,16
Mar 16,0,2,2,1,2,0,0,0,7
